CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
6D,1200 ROSSITER AVE,LARCENY FROM AUTO,Other,M,25.0,NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER,NORTHEAST,2023-04-25,11:00 PM,2023,25,April
6D,1200 N BROADWAY,LARCENY FROM AUTO,Other,F,48.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-04-26,3:00 AM,2023,26,April
7C,1900 BAKER ST,AUTO THEFT,Other,M,36.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-04-26,3:30 AM,2023,26,April
6F,2700 W FRANKLIN ST,LARCENY,Other,U,38.0,OTHER,SOUTHWEST,2023-04-24,6:00 AM,2023,24,April
6D,100 S CURLEY ST,LARCENY FROM AUTO,Other,F,40.0,WHITE,SOUTHEAST,2023-04-24,6:57 AM,2023,24,April
4D,0 S GREENE ST,AGG. ASSAULT,HANDGUN,M,22.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-04-25,4:27 AM,2023,25,April
6D,100 S CURLEY ST,LARCENY FROM AUTO,Other,M,41.0,WHITE,SOUTHEAST,2023-04-24,6:57 AM,2023,24,April
4E,6000 CHINQUAPIN PKWY,COMMON ASSAULT,Other,F,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-04-24,9:49 AM,2023,24,April
4E,900 ENSOR ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,31.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-04-24,4:00 PM,2023,24,April
4B,4800 ERDMAN AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,31.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-21,6:00 AM,2023,21,June
7C,100 W 39TH ST,AUTO THEFT,Other,M,28.0,ASIAN,NORTHERN,2023-06-22,5:00 AM,2023,22,June
7C,4400 MORAVIA RD,AUTO THEFT,Other,F,36.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-06-22,4:15 AM,2023,22,June
6J,500 OLDHAM ST,LARCENY,Other,M,32.0,OTHER,SOUTHEAST,2023-06-22,3:00 AM,2023,22,June
4E,1400 KUPER ST,COMMON ASSAULT,Other,M,46.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-06-22,4:00 AM,2023,22,June
5F,1200 E NORTH AVE,BURGLARY,Other,F,25.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-21,3:45 PM,2023,21,June
4E,0 LIGHT ST,COMMON ASSAULT,OTHER,F,26.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-22,5:25 AM,2023,22,June
7C,100 W 27TH ST,AUTO THEFT,Other,F,36.0,WHITE,NORTHERN,2023-06-22,1:00 AM,2023,22,June
7C,400 N LINWOOD AVE,AUTO THEFT,Other,M,51.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-21,6:00 PM,2023,21,June
7C,2400 HAMILTON AVE,AUTO THEFT,Other,F,40.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-06-21,4:00 PM,2023,21,June
