CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"5/5/2023, 1:00 PM",7C,800 HOLLINS ST,AUTO THEFT,,M,52,,SOUTHERN
"5/6/2023, 1:00 AM",7C,300 SCOTT ST,AUTO THEFT,,M,54,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/2/2023, 9:00 PM",5B,1600 BROENING HWY,BURGLARY,,,,,SOUTHEAST
"6/2/2023, 10:30 PM",7C,1100 N CHESTER ST,AUTO THEFT,,,,,EASTERN
"6/2/2023, 4:00 PM",7C,500 E 25TH ST,AUTO THEFT,,,,,NORTHERN
"6/3/2023, 5:58 AM",9S,300 E 26TH ST,SHOOTING,FIREARM,Male,29,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"6/2/2023, 2:30 PM",6J,4900 FRANKFORD AVE,LARCENY,,F,47,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"6/3/2023, 5:00 AM",6F,3300 EASTERN AVE,LARCENY,,M,68,WHITE,SOUTHEAST
"6/3/2023, 12:00 AM",7C,3400 ROUND RD,AUTO THEFT,,M,61,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/3/2023, 4:30 AM",7C,700 WHEELER AVE,AUTO THEFT,,F,38,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"6/3/2023, 2:00 AM",7C,1400 PARK AVE,AUTO THEFT,,M,28,WHITE,CENTRAL
"6/3/2023, 4:30 AM",7C,2900 MALLVIEW RD,AUTO THEFT,,F,22,,SOUTHERN
"6/3/2023, 4:00 AM",7C,1500 N BOND ST,AUTO THEFT,,F,35,,EASTERN
"6/2/2023, 9:43 AM",7C,5700 DENWOOD AVE,AUTO THEFT,,F,29,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"6/2/2023, 5:00 PM",6F,100 N EUTAW ST,LARCENY,,F,65,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/2/2023, 6:00 PM",6J,200 N EDGEWOOD ST,LARCENY,,F,77,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/2/2023, 11:00 PM",6D,900 N AUGUSTA AVE,LARCENY FROM AUTO,,F,75,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/3/2023, 4:00 AM",7C,2700 N CHARLES ST,AUTO THEFT,,F,39,,NORTHERN
"6/3/2023, 4:00 AM",7C,700 W HAMBURG ST,AUTO THEFT,,M,63,WHITE,SOUTHERN
"6/3/2023, 1:00 AM",7C,2000 GOUGH ST,AUTO THEFT,,M,39,WHITE,SOUTHEAST
"6/3/2023, 4:00 AM",7C,900 N CHARLES ST,AUTO THEFT,,F,25,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"4/24/2023, 7:45 AM",7C,6000 HIGHGATE DR,AUTO THEFT,,F,26,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"4/24/2023, 8:20 PM",4E,3800 OLD FREDERICK RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,29,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"4/24/2023, 5:45 PM",6F,600 Mozart Way,LARCENY,,F,39,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"4/24/2023, 7:00 PM",6D,5600 WOODMONT AVE,LARCENY FROM AUTO,,M,36,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"4/24/2023, 6:30 PM",6D,900 DARTMOUTH RD,LARCENY FROM AUTO,,F,45,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"4/25/2023, 5:41 AM",4B,2400 BRENTWOOD AVE,AGG. ASSAULT,BLUNT_OBJECT,F,30,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"4/25/2023, 5:55 AM",7C,5800 ARIZONA AVE,AUTO THEFT,,F,43,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"4/24/2023, 6:00 PM",7C,6800 MORAVIA PARK DR,AUTO THEFT,,M,21,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"4/24/2023, 10:00 PM",6J,800 N CHAPELGATE LN,LARCENY,,F,54,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"4/25/2023, 4:00 AM",7C,3400 CLAREMONT ST,AUTO THEFT,,M,24,WHITE,SOUTHEAST
"4/24/2023, 11:20 PM",4E,2800 W MULBERRY ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,31,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"4/24/2023, 11:50 PM",4E,600 Mt Holly Street,COMMON ASSAULT,PERSONAL_WEAPONS,F,,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"4/24/2023, 7:00 PM",6C,4000 EASTERN AVE,LARCENY,,,,,SOUTHEAST
"4/24/2023, 8:15 PM",6C,400 E PRATT ST,LARCENY,,,,,CENTRAL
"4/25/2023, 3:00 AM",3CF,1200 S HANOVER ST,ROBBERY - COMMERCIAL,FIREARM,,,,SOUTHERN
"4/25/2023, 3:05 AM",3CF,3400 CLIFTON AVE,ROBBERY - COMMERCIAL,HANDGUN,,,,SOUTHWEST
"4/24/2023, 3:37 PM",6C,400 E PRATT ST,LARCENY,,,,,CENTRAL
"6/22/2023, 12:30 AM",6F,6800 REISTERSTOWN RD,LARCENY,,F,45,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"6/22/2023, 2:00 AM",7C,2600 MONTEBELLO TER,AUTO THEFT,,M,57,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"6/21/2023, 4:50 PM",2A,700 N Chester St,RAPE,,F,18,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/22/2023, 5:00 AM",5A,900 BELGIAN AVE,BURGLARY,,M,51,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"6/21/2023, 2:00 PM",7C,4200 PASCAL AVE,AUTO THEFT,,F,31,,SOUTHERN
